1,1,Ứng viên 1,0901310022,1,FRESHER,8000000,12000000,VND,,,1,"Mới tốt nghiệp, 0-1 năm kinh nghiệm. Tìm cơ hội đầu tiên.",2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
2,2,Ứng viên 2,0906438701,2,JUNIOR,12000000,20000000,VND,,,2,"1-3 năm kinh nghiệm. Đã có kinh nghiệm thực tế, tìm môi trường phát triển.",2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
3,3,Ứng viên 3,0904563644,3,MID,20000000,35000000,VND,,,3,"3-5 năm kinh nghiệm. Có thể làm việc độc lập, mentor junior.",2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
4,4,Ứng viên 4,0903460419,4,SENIOR,35000000,50000000,VND,,,4,5+ năm kinh nghiệm. Chuyên gia trong lĩnh vực. Có thể lead team nhỏ.,2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
5,5,Ứng viên 5,0905035111,5,MANAGER,50000000,80000000,VND,,,5,Trưởng nhóm / Quản lý. 7+ năm kinh nghiệm. Quản lý team và dự án.,2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
6,6,Ứng viên 6,0903832251,6,INTERN,5000000,8000000,VND,,,6,Sinh viên năm 3/4 tìm việc thực tập. Sẵn sàng học hỏi.,2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
7,7,Ứng viên 7,0907119402,7,FRESHER,8000000,12000000,VND,,,7,"Mới tốt nghiệp, 0-1 năm kinh nghiệm. Tìm cơ hội đầu tiên.",2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
8,8,Ứng viên 8,0905465454,8,JUNIOR,12000000,20000000,VND,,,8,"1-3 năm kinh nghiệm. Đã có kinh nghiệm thực tế, tìm môi trường phát triển.",2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
9,9,Ứng viên 9,0900311017,9,MID,20000000,35000000,VND,,,9,"3-5 năm kinh nghiệm. Có thể làm việc độc lập, mentor junior.",2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
10,10,Ứng viên 10,0901715464,10,SENIOR,35000000,50000000,VND,,,10,5+ năm kinh nghiệm. Chuyên gia trong lĩnh vực. Có thể lead team nhỏ.,2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
11,11,Ứng viên 11,0900780895,11,MANAGER,50000000,80000000,VND,,,11,Trưởng nhóm / Quản lý. 7+ năm kinh nghiệm. Quản lý team và dự án.,2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
12,12,Ứng viên 12,0908754980,12,INTERN,5000000,8000000,VND,,,12,Sinh viên năm 3/4 tìm việc thực tập. Sẵn sàng học hỏi.,2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
13,13,Ứng viên 13,0905890966,13,FRESHER,8000000,12000000,VND,,,13,"Mới tốt nghiệp, 0-1 năm kinh nghiệm. Tìm cơ hội đầu tiên.",2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
14,14,Ứng viên 14,0900981927,14,JUNIOR,12000000,20000000,VND,,,14,"1-3 năm kinh nghiệm. Đã có kinh nghiệm thực tế, tìm môi trường phát triển.",2025-11-04 15:52:21.593 +00:00,2025-11-04 15:52:21.593 +00:00
